WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE	
circumnavigate			
circumscribe			
circumvent			
cite			
civilize			
clack			
claim			
clam			
clamber			
clamor			
clamour			
clamp			
clang			
clank			
clap			
clarify			
clash			
clasp			
class			
classify			
clatter			
claw			
clean			
cleanse			
clear			
cleave			
clench			
clerk			
clew			
click			
climax			
climb			
clinch			
cling	clung	clung	
clink			
clip			
clobber			
clock			
clog			
cloister			
close			
closet			
clot			
clothe			
cloud			
clout			
clown			
club			
cluck			
clump			
clunk			
cluster			
clutch			
clutter			
co-opt			
co-star			
coach			
coagulate			
coal			
coalesce			
coarsen			
coast			
coat			
coax			
cobble			
cock			
cocoon			
coddle			
code			
codevelop			
codify			
coerce			
coexist			
cofinance			
cogitate			
cohabit			
cohere			
coil			
coin			
coincide			
coke			
cold-shoulder			
collaborate			
collapse			
collar			
collate			
collect			
collectivize			
collide			
collocate			
colonize			
color			
colour			
comb			
combat			
combine			
combust			
come	came	come	
comfort			
command			
commandeer			
commemorate			
commence			
commend			
comment			
commentate			
commercialize			
commingle			
commiserate			
commission			
commit			
commune			
communicate			
commute			
compact			
compare			
compartmentalize			
compass			
compel			
compensate			
compete			
compile			
complain			
complement			
complete			
complicate			
compliment			
comply			
comport			
compose			
compost			
compound			
comprehend			
compress			
comprise			
compromise			
compute			
computerize			
comp`ere			
con			
conceal			
concede			
conceive			
concentrate			
concern			
concert			
conciliate			
conclude			
concoct			
concur			
condemn			
condense			
condescend			
condition			
condone			
conduct			
cone			
confab			
confabulate			
confederate			
confer			
confess			
confide			
configure			
confine			
confirm			
confiscate			
conflict			
conform			
confound			
confront			
confuse			
confute			
congeal			
conglomerate			
congratulate			
congregate			
conjecture			
conjoin			
conjugate			
conjure			
conk			
connect			
connive			
connote			
conquer			
conscript			
consecrate			
consent			
conserve			
consider			
consign			
consist			
console			
consolidate			
consort			
conspire			
constipate			
constitute			
constitutionalize			
constrain			
constrict			
construct			
construe			
consult			
consume			
consummate			
contact			
contain			
contaminate			
contemn			
contemplate			
contend			
content			
contest			
continue			
contort			
contour			
contract			
contradict			
contradistinguish			
contrast			
contravene			
contribute			
contrive			
control			
controvert			
contuse			
convalesce			
convene			
converge			
converse			
convert			
convey			
convict			
convince			
convoke			
convoy			
convulse			
coo			
cook			
cool			
coop			
cooperate			
coordinate			
cop			
cope			
copper			
copper-bottom			
copulate			
copy			
copyright			
cord			
cordon			
core			
cork			
corn			
corner			
corral			
correct			
correlate			
correspond			
corroborate			
corrode			
corrugate			
corrupt			
cosponsor			
cosset			
cost	(cost costed)	(cost costed)	
couch			
cough			
counsel	(counselled counseled)	(counselled counseled)	(counselling counseling)
count			
countenance			
counter			
counteract			
counterattack			
counterbalance			
counterfeit			
countermand			
countermine			
counterplot			
counterpoise			
countersign			
countertrade			
countervail			
couple			
course			
court			
court-martial			
covenant			
cover			
covet			
cow			
cower			
cox			
cozen			
crab			
crack			
crackle			
cradle			
craft			
cram			
cramp			
crane			
crank			
crap			
crash			
crash-dive			
crash-land			
crate			
crave			
crawl			
crayon			
creak			
cream			
crease			
create			
credit			
creep	crept	crept	
cremate			
crest			
crew			
crick			
crimp			
crimson			
cringe			
crinkle			
cripple			
crisp			
crisscross			
criticise			
criticize			
croak			
crochet			
crook			
croon			
crop			
cross			
cross-examine			
cross-fertilize			
cross-index			
cross-question			
crossbreed	crossbred	crossbred	
crosscheck			
crouch			
crow			
crowd			
crown			
crucify			
cruise			
crumble			
crumple			
crunch			
crusade			
crush			
crust			
cry			
crystallize			
cube			
cuckold			
cuddle			
cudgel			
cuff			
cull			
culminate			
cultivate			
cup			
curb			
curdle			
cure			
curl			
curry			
curse			
curtail			
curtain			
curtsey			
curtsy			
curve			
cushion			
customize			
cut	cut	cut	
cycle			
cyclostyle			
cypher			
dab			
dabble			
dally			
dam			
damage			
damascene			
damn			
damp			
dampen			
dance			
dandle			
dangle			
dapple			
dare			
darken			
darn			
dart			
dash			
date			
daub			
daunt			
dawdle			
dawn			
daydream			
daze			
dazzle			
de-escalate			
de-ice			
deaden			
deafen			
deal	dealt	dealt	
debag			
debar			
debark			
debase			
debate			
debauch			
debilitate			
debit			
debouch			
debrief			
debug			
debunk			
decamp			
decant			
decapitate			
decarbonize			
decay			
decease			
deceive			
decelerate			
decentralize			
decide			
decimalize			
decimate			
decipher			
deck			
declaim			
declare			
declassify			
decline			
decode			
decolonize			
decompose			
decompress			
decontaminate			
decontrol			
decorate			
decoy			
decrease			
decree			decreeing
decry			
dedicate			
deduce			
deduct			
deem			
deep-freeze			
deepen			
deface			
defame			
default			
defeat			
defecate			
defect			
defend			
defer			
defile			
define			
deflate			
deflect			
deflower			
defoliate			
deforest			
deform			
defraud			
defray			
defrock			
defrost			
defuse			
defy			
degauss			
degenerate			
degrade			
dehorn			
dehumanize			
dehydrate			
deify			
deign			
delay			
delegate			
delete			
deliberate			
delight			
delimit			
delineate			
deliver			
delouse			
delude			
deluge			
delve			
demagnetize			
demand			
demarcate			
demean			
demilitarize			
demob			
demobilize			
democratize			
demolish			
demonetize			
demonstrate			
demoralize			
demote			
demur			
denationalize			
denigrate			
